,C1,C2,C3,C4,C5,C6,cluster
190,1.6667,2.6667,3.6667,1.0,1.3333,2.3333,0
191,2.6667,1.6667,4.0,2.6667,4.3333,1.3333,2
192,2.6667,3.0,2.6667,2.3333,1.6667,2.3333,0
193,3.6667,3.3333,2.0,2.3333,3.0,4.3333,1
194,3.6667,1.6667,3.0,4.0,1.6667,1.3333,2
195,3.3333,3.3333,1.0,3.0,4.3333,3.0,1
196,2.0,1.6667,3.0,2.6667,1.6667,2.6667,0
197,1.0,1.0,1.0,1.0,1.0,1.0,0
198,3.6667,3.6667,1.6667,1.0,3.6667,3.3333,1
199,3.3333,2.3333,2.6667,3.0,1.3333,1.0,2
200,1.6667,1.6667,3.3333,1.3333,2.0,1.0,0
201,3.3333,3.0,1.6667,3.3333,1.6667,2.3333,2
202,2.6667,1.3333,4.6667,3.0,2.3333,1.3333,0
203,1.6667,1.3333,3.0,2.0,1.3333,1.0,0
204,1.3333,2.6667,3.3333,1.6667,1.3333,1.3333,0
205,4.6667,4.6667,1.0,2.3333,2.3333,4.3333,1
206,3.3333,3.6667,1.6667,1.0,2.6667,4.6667,1
207,1.3333,1.3333,3.3333,2.0,3.0,1.6667,0
208,3.3333,3.0,2.6667,2.6667,4.3333,3.3333,1
209,2.3333,2.0,3.6667,3.0,4.6667,3.0,2
210,2.6667,1.6667,4.3333,3.6667,3.3333,1.3333,2
211,2.3333,2.0,2.6667,2.3333,4.0,1.3333,2
212,3.0,3.0,3.0,2.0,1.3333,3.3333,1
213,1.6667,1.0,4.6667,2.0,3.0,2.3333,0
214,1.3333,1.6667,2.0,2.3333,5.0,1.0,2
215,4.0,2.6667,3.3333,4.6667,2.6667,1.0,2
216,2.3333,3.0,2.6667,2.6667,2.0,3.3333,1
217,1.6667,2.3333,4.0,1.0,2.3333,2.3333,0
218,3.0,3.6667,1.6667,1.6667,2.6667,4.0,1
219,3.0,1.6667,3.6667,2.6667,1.6667,1.6667,0
220,4.0,4.6667,1.0,2.6667,3.6667,4.6667,1
221,2.0,2.6667,3.6667,1.0,2.0,1.6667,0
222,3.3333,4.6667,1.0,1.6667,4.0,4.6667,1
223,3.6667,4.0,1.0,2.0,3.0,5.0,1
224,3.3333,3.6667,2.6667,2.3333,2.3333,3.3333,1
225,3.6667,4.3333,1.0,2.3333,3.6667,4.3333,1
226,1.3333,2.3333,3.0,2.0,1.6667,3.0,0
227,2.6667,2.3333,3.3333,4.3333,2.0,1.6667,2
228,3.0,1.6667,3.6667,2.0,1.6667,2.6667,0
229,4.0,3.6667,1.0,2.6667,2.6667,3.0,1
230,2.6667,2.3333,2.6667,3.3333,3.3333,1.0,2
231,3.3333,3.0,1.0,1.3333,4.6667,1.6667,1
232,3.0,2.6667,2.0,4.0,3.3333,1.6667,2
233,3.3333,4.0,1.6667,2.6667,2.0,4.6667,1
234,4.6667,4.6667,1.0,1.6667,3.6667,5.0,1
235,3.0,2.3333,2.3333,3.0,2.3333,1.6667,2
236,2.6667,3.0,1.0,2.3333,2.6667,2.3333,1
